month,day,year,capturetime,releasetime,bandnumber,species,age,sex,wing,hallux,tail,standardtail,tarsus,wingpitfat,keelfat,crop
9,19,1992,13:30,,877-76317,RT,I,,385.0,30.1,219,,,,,
9,22,1992,10:30, ,877-76318,RT,I,,376.0,,221,,,,,
9,23,1992,12:45, ,877-76319,RT,I,,381.0,31.3,235,,,,,
9,23,1992,10:50, ,745-49508,CH,I,F,265.0,23.5,220,,,,,
9,27,1992,11:15, ,1253-98801,SS,I,F,205.0,14.3,157,,,,,
9,28,1992,11:25, ,1207-55910 ,RT,I,,412.0,32.2,230,,,,,
9,28,1992,13:30, ,877-76320,RT,I,,370.0,30.1,212,,,,,
9,29,1992,11:45, ,877-76321,RT,A,,375.0,30.0,243,,,,,
9,29,1992,15:35, ,877-76322,RT,A,,412.0,31.3,210,,,,,
9,30,1992,13:45, ,1207-55911,RT,I,,405.0,30.2,238,,,,,
10,5,1992,13:30, ,877-76323,RT,I,,393.0,30.8,222,,,,,
10,8,1992,13:45, ,877-76324,RT,I,,371.0,29.7,217,,,,,
10,9,1992,12:30, ,877-76325,RT,A,,390.0,30.9,213,,,,,
10,10,1992,11:05, ,1207-55917,RT,A,,393.0,30.6,238,,,,,
10,11,1992,11:00, ,1207-55912,RT,I,,416.0,34.0,243,,,,,
10,11,1992,11:45, ,1207-55913,RT,A,,436.0,34.0,232,,,,,
10,11,1992,12:40, ,877-76326,RT,I,,418.0,31.0,238,,,,,
10,11,1992,14:20, ,877-76327,RT,A,,381.0,28.9,202,,,,,
10,12,1992,13:40, ,877-76328,RT,I,,378.0,28.2,227,,,,,
10,13,1992,11:00, ,877-76329,RT,I,,396.0,26.9,227,,,,,
10,13,1992,14:50, ,877-76330,RT,I,,399.0,31.2,222,,,,,
10,14,1992,13:15, ,877-76331,RT,I,,416.0,31.6,237,,,,,
10,17,1992,12:10, ,877-76332,RT,I,,415.0,30.7,238,,,,,
10,22,1992,13:05, ,877-76333,RT,A,,392.0,30.3,213,,,,,
10,23,1992,11:45, ,877-76334,RT,I,,380.0,30.0,211,,,,,
10,23,1992,16:05, ,1173-19901,SS,I,M,173.0,,130,,,,,
10,24,1992,14:35, ,877-76335,RT,I,,399.0,32.5,190,,,,,
10,25,1992,12:05, ,1207-55914,RT,A,,401.0,31.6,245,,,,,
10,27,1992,10:05, ,1253-98802,SS,I,F,205.0,15.0,164,,,,,
10,27,1992,10:45, ,608-48703,RT,I,,427.0,32.4,246,,,,,
10,27,1992,15:15, ,1207-55915,RT,A,,395.0,31.4,207,,,,,
10,30,1992,11:05, ,877-76336,RT,I,,362.0,27.9,209,,,,,
